Institution;Location;Url
Agrocampus Ouest;France;https://www.institut-agro-rennes-angers.fr/
Ajman University;United Arab Emirates;https://www.ajman.ac.ae/en/
Appalachian State University (ASU);United States;https://www.appstate.edu/
Baku State University;Azerbaijan;http://bsu.edu.az/
Beijing University of Chemical Technology;China (Mainland);https://www.buct.edu.cn/main.htm
Beijing University of Posts and Telecommunications;China (Mainland);https://www.bupt.edu.cn/
Birmingham City University ;United Kingdom;https://www.bcu.ac.uk/
California Polytechnic State University;United States;https://www.calpoly.edu/
Central Michigan University;United States;https://www.cmich.edu/
China University of Petroleum;China (Mainland);https://www.cup.edu.cn/
CUNY Hunter College;United States;https://hunter.cuny.edu/
CY Cergy Paris University;France;https://www.cyu.fr/
Cyprus University of Technology;Cyprus;https://www.cut.ac.cy/
Ecole Centrale de Lyon;France;https://www.ec-lyon.fr/
EGE UNIVERSITY;Turkey;https://ege.edu.tr/eng-0/homepage.html
Escuela Politécnica Nacional;Ecuador;https://www.epn.edu.ec/
Fordham University ;United States;https://www.fordham.edu/
Fundação Getulio Vargas;Brazil;https://portal.fgv.br/
Georgia Southern University;United States;https://www.georgiasouthern.edu/
German Jordanian University;Jordan;https://www.gju.edu.jo/
Graphic Era (Deemed) University;India;https://geu.ac.in/
Guangxi University;China (Mainland);https://www.gxu.edu.cn/
Harbin Engineering University;China (Mainland);http://www.hrbeu.edu.cn/
HeFei University of Technology;China (Mainland);https://www.hfut.edu.cn/
Hunan Normal University;China (Mainland);https://www.hunnu.edu.cn/
Hungarian University of Agriculture and Life Sciences;Hungary;https://uni-mate.hu/
Incheon National University;South Korea;https://www.inu.ac.kr/inu/index.do?epTicket=LOG
Indian Institute of Technology Ropar;India;https://www.iitrpr.ac.in/
International Hellenic University;Greece;https://www.ihu.gr/
International Islamic University Malaysia (IIUM);Malaysia;https://www.iium.edu.my/v2/
I-Shou University (ISU);Taiwan;https://www.isu.edu.tw/pages/
Jiangnan University;China (Mainland);https://www.jiangnan.edu.cn/
JSS Academy of Higher Education and Research (Deemed to be University);India;https://jssuni.edu.in/JSSWeb/WebHome.aspx
Karunya Institute of Technology and Sciences - Deemed to be University;India;https://www.karunya.edu/
Kharkiv National University of Radio Electronics ;Ukraine;https://nure.ua/
Koneru Lakshmaiah Education Foundation;India;https://www.kluniversity.in/
Leeds Beckett University;United Kingdom;https://www.leedsbeckett.ac.uk/
Lobachevsky University;Russia;http://www.unn.ru/
Lucian Blaga University of Sibiu;Romania;https://www.ulbsibiu.ro/ro/
Majmaah University;Saudi Arabia;https://www.mu.edu.sa/ar
Management and Science University;Malaysia;https://www.msu.edu.my/
Mapua University;Philippines;https://www.mapua.edu.ph/
Marquette University;United States;https://www.marquette.edu/
Mendel University in Brno;Czech Republic;https://mendelu.cz/
National Institute of Technology, Karnataka, Surathkal;India;https://www.nitk.ac.in/
North China Electric Power University;China (Mainland);https://www.ncepu.edu.cn/
Northeast Normal University;China (Mainland);https://www.nenu.edu.cn/
Northern Illinois University;United States;https://www.niu.edu/index.shtml
Nova Southeastern University;United States;https://www.nova.edu/
Ozyegin University;Turkey;https://www.ozyegin.edu.tr/tr
Prince Sattam Bin Abdulaziz University;Saudi Arabia;https://psau.edu.sa/
Roskilde University;Denmark;https://ruc.dk/
Shahid Beheshti University (SBU);Iran, Islamic Republic of;https://sbu.ac.ir/web/sbu
Shanghai University of Finance and Economics;China (Mainland);https://www.sufe.edu.cn/
Sharif University of Technology;Iran, Islamic Republic of;https://www.sharif.edu/
Shiv Nadar University;India;https://snu.edu.in/
Silesian University of Technology;Poland;https://www.polsl.pl/
South Dakota State University;United States;https://www.sdstate.edu/
Southern Federal University;Russia;https://sfedu.ru/
Srinakharinwirot University;Thailand;https://swu.ac.th/
St. George's, University of London;United Kingdom;https://www.sgul.ac.uk/
Suranaree University of Technology ;Thailand;https://sut.ac.th/
Tallinn University of Technology (TalTech);Estonia;https://taltech.ee/
Texas A&M University - Corpus Christi;United States;https://www.tamucc.edu/
The Islamia University of Bahawalpur,Pakistan;Pakistan;https://www.iub.edu.pk/
Universidad de Los Andes - (ULA) Mérida;Venezuela;http://ula.ve/
Universidad de Monterrey (UDEM);Mexico;https://www.udem.edu.mx/es
Universidad Nacional Agraria la Molina;Peru;http://www.lamolina.edu.pe/
Universidad Nacional de Mar del Plata;Argentina;https://www.mdp.edu.ar/
Universidad Nacional de San Martín (UNSAM);Argentina;https://www.unsam.edu.ar/
Universidad Nacional del Comahue;Argentina;https://academica.uncoma.edu.ar/
Universidad Nacional del Sur;Argentina;https://www.uns.edu.ar/
Universidad San Ignacio de Loyola;Peru;https://usil.edu.pe/
Universidade Federal de Pelotas ;Brazil;https://portal.ufpel.edu.br/
Universidade Federal de Pernambuco (UFPE) ;Brazil;https://www.ufpe.br/
Universidade Federal de Viçosa (UFV);Brazil;https://www.ufv.br/
Universidade Federal do ABC (UFABC);Brazil;https://www.ufabc.edu.br/
Universidade Federal do Rio Grande Do Norte;Brazil;https://ufrn.br/
"Universita' degli Studi ""G. d'Annunzio"" Chieti Pescara";Italy;https://www.unich.it/
Università degli Studi della Campania Luigi Vanvitelli;Italy;https://www.unicampania.it/
Università degli studi di Bergamo;Italy;https://www.unibg.it/
Universitas Islam Indonesia;Indonesia;https://www.uii.ac.id/
Universitas Negeri Semarang;Indonesia;https://unnes.ac.id/
Universität Mannheim;Germany;https://www.uni-mannheim.de/
Universität Siegen;Germany;https://www.uni-siegen.de/start/
Université d'Angers;France;https://www.univ-angers.fr/fr/index.html
Université de Perpignan Via Domitia;France;https://www.univ-perp.fr/
Université d'Orléans;France;https://www.univ-orleans.fr/fr
Université Ibn Tofail;Morocco;https://www.uit.ac.ma/
Universiti Malaysia Sabah (UMS);Malaysia;https://www.ums.edu.my/v5/
University of Karachi;Pakistan;https://uok.edu.pk/
University of Novi Sad;Serbia;https://www.uns.ac.rs/index.php/
University of Shanghai for Science and Technology;China (Mainland);http://www.usst.edu.cn/main.htm
University of Tabriz;Iran, Islamic Republic of;https://tabrizu.ac.ir/fa
University of the South Pacific;Fiji;https://www.usp.ac.fj/
University of the West of Scotland (UWS);United Kingdom;https://www.uws.ac.uk/
University of Tyumen;Russia;https://www.utmn.ru/
University of Wolverhampton;United Kingdom;https://www.wlv.ac.uk/
Walailak University;Thailand;https://www.wu.ac.th/th
Wroclaw University of Science and Technology (WRUST);Poland;https://pwr.edu.pl/
