name, performance_score, sustainability_score, unminified_html_score, unminified_html_value, unminified_css_score, unminified_css_value, unminified_js_score, unminified_js_value, video_codec_score, video_codec_value, font_family_score, font_family_value, font_format_score, font_format_value, responsive_images_score, responsive_images_value, optimised_images_score, optimised_images_value, text_compression_score, text_compression_value
Agrocampus_Ouest,0.64,0.25,0.83,12393,1,0,0.5,0,None,0,0,21,0.1,19,0,530,0.5,0,1,0
Ajman_University,0.74,0.33,0.78,27180,1,0,1,0,None,0,0,4,0.29,5,0.5,5150,0,1610,1,0
Appalachian_State_University_ASU,0.29,0.47,0.85,6500,1,0,1,0,None,0,0,4,1,0,0,14450,0.5,2790,0,2540
Baku_State_University,0.54,0.52,0.66,17891,0.5,0,1,0,None,0,0,5,0.93,2,0.5,15210,0.5,5780,0,3060
Beijing_University_of_Posts_and_Telecommunications,0.5,None,0.87,4347,0.5,0,1,0,None,0,None,None,1,0,0,26140,0,31350,1,0
Birmingham_City_University_,0.56,0.56,0.88,17168,1,0,1,0,None,0,0,9,0.54,6,0.5,160,1,0,0.5,0
California_Polytechnic_State_University,0.54,0.74,0.88,13146,1,0,1,0,None,0,0,8,0.93,1,1,0,1,0,0.5,0
Central_Michigan_University,0.4,0.57,0.78,18508,0.5,0,0.5,0,None,0,0,6,0.92,1,1,0,0.5,490,0,330
China_University_of_Petroleum,0.54,0.22,0.76,11030,1,0,0.5,0,None,0,0,1,0,1,0,72000,0.5,25050,1,0
CUNY_Hunter_College,0.63,0.58,0.88,9244,1,0,1,0,None,0,0,4,0.98,1,0,1860,1,0,1,0
Cyprus_University_of_Technology,0.49,0.49,0.63,36550,1,0,1,0,None,0,0,4,1,0,0.5,0,0,16690,1,0
CY_Cergy_Paris_University,0.5,0.51,0.55,127923,1,0,0.5,0,1,0,0,2,0,8,0.5,3670,0.5,1830,0,1500
Ecole_Centrale_de_Lyon,0.45,0.63,1,2598,1,0,0.5,0,None,0,0,4,0.67,2,1,0,1,0,0,150
EGE_UNIVERSITY,0.55,0.23,0.61,40779,0,660,0.5,0,None,0,0,11,0.75,2,0,3070,0,3070,0,4390
Escuela_Politécnica_Nacional,0.32,0.38,0.91,15387,0,170,0,490,None,0,0,15,0.69,17,0.5,2200,0.5,1710,1,0
Fordham_University_,0.21,0.57,0.75,25730,1,0,1,0,None,0,0,1,1,0,0,6620,1,0,0.5,80
Fundação_Getulio_Vargas,0.14,0.16,1,10098,1,0,0,330,None,0,0,8,0,8,0,8190,0.5,500,0,1120
Georgia_Southern_University,0.31,None,0.89,18686,0.5,0,1,0,None,None,0,14,0.72,9,0.5,790,0.5,260,0,240
German_Jordanian_University,0.55,0.45,0.92,5648,0,500,0,3200,1,0,0,10,0.8,1,0,4000,0,4930,0,5150
Graphic_Era_Deemed_University,0.75,0.67,0.95,15668,0,0,1,0,1,0,0,22,0.88,6,0.5,4200,0.5,4200,1,0
Guangxi_University,0.58,0.59,0.76,7760,1,0,0.5,0,None,0,1,0,1,0,0,115500,0,70200,1,0
Harbin_Engineering_University,0.55,0.67,0.69,25182,0.5,0,0.5,0,1,0,0,8,1,0,0.5,57900,0.5,7800,1,0
HeFei_University_of_Technology,0.44,0.63,0.86,4386,1,0,1,0,None,0,1,0,1,0,0,67650,0,52500,1,0
Hunan_Normal_University,0.17,0.57,0.7,6725,0.5,0,1,0,1,0,0,1,1,0,0,22650,0,750,1,0
