Rank Display;Institution;Location;Url
1;University of Toronto;Canada;https://www.utoronto.ca/
2;University of California, Berkeley (UCB);United States;https://www.berkeley.edu/
3;The University of Manchester;United Kingdom;https://www.manchester.ac.uk/
4;University of British Columbia;Canada;https://www.ubc.ca/
5;The University of Auckland;New Zealand;https://www.auckland.ac.nz/en.html
6;Imperial College London;United Kingdom;https://www.imperial.ac.uk/
7;The University of Sydney;Australia;https://www.sydney.edu.au/
8;Lund University;Sweden;https://www.lunduniversity.lu.se/
9;The University of Melbourne;Australia;https://www.unimelb.edu.au/
10;Western University;Canada;https://www.uwo.ca/
11;The University of New South Wales (UNSW Sydney);Australia;https://www.unsw.edu.au/
11;Uppsala University;Sweden;https://www.uu.se/
13;McGill University;Canada;https://www.mcgill.ca/
14;Delft University of Technology;Netherlands;https://www.tudelft.nl/
15;Massachusetts Institute of Technology (MIT) ;United States;https://web.mit.edu/
15;The University of Edinburgh;United Kingdom;https://www.ed.ac.uk/
17;University of Bristol;United Kingdom;https://www.bristol.ac.uk/
18;ETH Zurich - Swiss Federal Institute of Technology;Switzerland;https://ethz.ch/de.html
19;Durham University;United Kingdom;https://www.durham.ac.uk/
20;University of Glasgow;United Kingdom;https://www.gla.ac.uk/
21;Ghent University;Belgium;https://www.ugent.be/
22;The University of Tokyo;Japan;https://www.u-tokyo.ac.jp/ja/index.html
23;Monash University;Australia;https://www.monash.edu/
24;The University of Sheffield;United Kingdom;https://www.sheffield.ac.uk/
24;University of Southern California;United States;https://www.usc.edu/
26;National University of Singapore (NUS);Singapore;https://nus.edu.sg/
26;University of Sussex;United Kingdom;https://www.sussex.ac.uk/
28;University of Alberta;Canada;https://www.ualberta.ca/index.html
29;University of York;United Kingdom;https://www.york.ac.uk/
30;Newcastle University;United Kingdom;https://www.ncl.ac.uk/
30;The Australian National University;Australia;https://www.anu.edu.au/
30;The University of Exeter;United Kingdom;https://www.exeter.ac.uk/
33;University of Nottingham;United Kingdom;https://www.nottingham.ac.uk/
34;University of Southampton;United Kingdom;https://www.southampton.ac.uk/
35;University of Birmingham;United Kingdom;https://www.birmingham.ac.uk/index.aspx
36;The University of Queensland;Australia;https://www.uq.edu.au/
37;Pennsylvania State University;United States;https://www.psu.edu/
37;University of Aberdeen;United Kingdom;https://www.abdn.ac.uk/
37;University of Minnesota Twin Cities;United States;https://twin-cities.umn.edu/
40;Griffith University;Australia;https://www.griffith.edu.au/
41;Arizona State University;United States;https://www.asu.edu/
41;Michigan State University;United States;https://msu.edu/
43;University of Technology Sydney;Australia;https://www.uts.edu.au/
44;King's College London;United Kingdom;https://www.kcl.ac.uk/
44;Lancaster University;United Kingdom;https://www.lancaster.ac.uk/
46;Cardiff University;United Kingdom;https://www.cardiff.ac.uk/
46;Seoul National University;South Korea;https://www.snu.ac.kr/index.html
48;University of Otago;New Zealand;https://www.otago.ac.nz/
49;The University of Adelaide;Australia;https://www.adelaide.edu.au/
50;Nanyang Technological University, Singapore (NTU);Singapore;https://www.ntu.edu.sg/
50;University College Dublin;Ireland;https://www.ucd.ie/
50;University of Cape Town;South Africa;https://uct.ac.za/
50;University of Liverpool;United Kingdom;https://www.liverpool.ac.uk/
54;Queen Mary University of London;United Kingdom;https://www.qmul.ac.uk/
55;New York University (NYU);United States;https://www.nyu.edu/
55;Rutgers University–New Brunswick;United States;https://newbrunswick.rutgers.edu/
57;Macquarie University;Australia;https://www.mq.edu.au/
58;KTH Royal Institute of Technology ;Sweden;https://www.kth.se
59;Aalto University;Finland;https://www.aalto.fi/fi
60;University of Helsinki;Finland;https://www.helsinki.fi/fi
61;University of Reading;United Kingdom;https://www.reading.ac.uk/
62;RMIT University;Australia;https://www.rmit.edu.au/
62;University of Wollongong;Australia;https://www.uow.edu.au/
64;Loughborough University;United Kingdom;https://www.lboro.ac.uk/
64;Queen's University at Kingston;Canada;https://www.queensu.ca/
66;Deakin University;Australia;https://www.deakin.edu.au/
67;Universidade de São Paulo;Brazil;https://www5.usp.br/
68;University of Calgary;Canada;https://www.ucalgary.ca/
68;University of Waterloo;Canada;https://uwaterloo.ca/
70;Technical University of Munich;Germany;https://www.tum.de/
71;University of Pennsylvania;United States;https://www.upenn.edu/
72;University of Ottawa;Canada;https://www.uottawa.ca/en
