name, performance_score, sustainability_score, unminified_html_score, unminified_html_value, unminified_css_score, unminified_css_value, unminified_js_score, unminified_js_value, video_codec_score, video_codec_value, font_family_score, font_family_value, font_format_score, font_format_value, responsive_images_score, responsive_images_value, optimised_images_score, optimised_images_value, text_compression_score, text_compression_value
100_Queensland_University_of_Technology_QUT,0.35,0.47,0.68,69012,0.5,160,0,500,None,0,0,6,1,0,0.5,160,0.5,780,1,0
10_Western_University,0.27,0.36,0.74,25617,0,0,1,0,None,0,0,3,1,0,0,1500,0,5230,1,0
11_The_University_of_New_South_Wales_UNSW_Sydney,0.58,0.47,0.78,29429,1,0,1,0,None,0,0,9,0.9,2,0,1790,0.5,15320,1,0
11_Uppsala_University,0.57,0.77,1,4623,1,0,1,0,None,0,0,1,1,0,1,0,1,0,1,0
13_McGill_University,0.55,0.15,0.88,3613,1,0,0,520,None,0,0,11,0.36,7,0,2580,0,3100,0,2320
14_Delft_University_of_Technology,0.65,0.6,0.76,30595,0.5,0,1,0,None,0,0,2,0.75,1,0.5,150,1,0,1,0
15_Massachusetts_Institute_of_Technology_MIT_,0.49,0.38,0.84,7890,1,0,1,0,None,0,0,2,1,0,0,910,0,300,0,1660
15_The_University_of_Edinburgh,0.72,0.45,1,4797,1,0,0,150,None,0,0,3,0.78,16,0,2110,1,0,1,0
17_University_of_Bristol,0.36,0.56,1,2188,1,0,1,0,None,0,0,5,0.98,1,1,0,0,310,0,2590
18_ETH_Zurich_-_Swiss_Federal_Institute_of_Technology,0.06,0.37,0.68,20886,1,0,0.5,170,None,0,0,5,0.78,2,0,22670,0.5,330,0,4300
19_Durham_University,0.43,0.77,0.82,35498,1,0,1,0,1,0,0,1,1,0,0.5,0,1,0,0.5,740
1_University_of_Toronto,0.8,0.58,0.88,13451,1,0,1,0,None,0,0,11,0.97,1,0,160,1,0,1,0
20_University_of_Glasgow,0.49,0.59,0.83,9323,1,0,1,0,None,0,0,4,1,0,0.5,0,0.5,0,1,0
21_Ghent_University,0.68,0.39,0.73,8638,1,0,0.5,160,None,0,0,8,0.36,7,0,310,1,0,1,0
22_The_University_of_Tokyo,0.33,0.47,0.61,37051,0,600,0.5,0,None,0,0,2,1,0,0.5,36450,0.5,29400,0,3030
23_Monash_University,0.79,0.67,0.4,463124,1,0,1,0,None,0,0,4,1,0,0.5,0,1,0,1,0
24_The_University_of_Sheffield,0.77,0.59,0.91,13111,1,0,1,0,None,0,0,1,1,0,0.5,0,0.5,150,1,0
24_University_of_Southern_California,0.6,0.62,0.85,37816,0,380,1,0,None,0,0,3,1,0,0.5,150,1,0,0.5,0
26_University_of_Sussex,0.65,0.41,0.82,9336,1,0,1,0,None,0,0,5,1,0,0,330,0,660,1,0
28_University_of_Alberta,0.28,0.63,0.38,98956,0.5,0,1,0,1,0,0,14,1,0,0,31060,0.5,1410,1,0
29_University_of_York,0.6,0.5,0.82,8187,1,0,1,0,None,0,0,3,1,0,0,640,0.5,320,1,0
2_University_of_California_Berkeley_UCB,0.56,0.58,0.83,8914,1,0,1,0,None,0,0,9,0.97,1,1,0,0,5100,1,0
30_Newcastle_University,0.51,0.39,0.88,11998,1,0,1,0,None,0,0,12,0.92,1,0,6520,0,2290,1,0
