project;hash;msg;relevance
kubernetes/website;fbf57b224f9ba36cd9daeb22577aa65894596cbb;"spelling error

Signed-off-by: yanan Lee <energylyn@zju.edu.cn>

Incorrect spelling

Signed-off-by: yanan Lee <energylyn@zju.edu.cn>

spelling error

Signed-off-by: yanan Lee <energylyn@zju.edu.cn>

Incorrect spelling

Signed-off-by: yanan Lee <energylyn@zju.edu.cn>

Revert ""Incorrect spelling""

fix some typos

Signed-off-by: Jie Luo <luo612@zju.edu.cn>

fix a typo

Signed-off-by: Jie Luo <luo612@zju.edu.cn>

fix a typo

Signed-off-by: Jie Luo <luo612@zju.edu.cn>";0
kubernetes/website;7c25ef9252bc5e922a9f96d6940c01794b8e5da7;"added installation via Powershell Gallery (#6086)

* added kubectl installation via PSGallery 

kubectl Installation via PSGallery for Powershell Windows Package Manager

* Update install-kubectl.md";0
kubernetes/website;d1b446a0801b9a7b55507aa365e71712e2bdf480;"edit command to create config file (#7293)

""touch"" is not a windows or power shell command";0
kubernetes/website;c22f068daa1f4eec045f2115d52cffd1703f624e;"Fix Markdown on documentation for install-kubectl (#9975)

* Fix Markdown on documentation for install-kubectl 

Section modified: ""Install with Powershell from PSGallery""

* Update install-kubectl.md

* Feedback from PR review with gramamtically incorect sentence and markdown rendering in install-kubectl.md

Update install-kubectl.md

Update install-kubectl.md

Update install-kubectl.md

Update install-kubectl.md";0
kubernetes/website;ed1b47f552e2445d930f510a7539ed6b88361fd4;"Update hello-minikube.md (#10182)

added powershell equivalent for  eval $(minikube docker-env), and added some text to help a beginner understand in more concrete terms the difference between the local docker registry, and the one in minikube (might only be an issue for newbs, but I am a newb :) and limited to powershell :().";0
kubernetes/website;d88352b000ea49c48175f6d04539d7fb76a3183b;"Fix Powershell script issue (#12858)

Fix syntax issue of Powershell script, update environment key to KUBECONFIG";0
kubernetes/website;7bcc824779251861c974db63ee33904eb528fdbe;"Powershell note for kubectl patch command (#15308)

* Improvement for kubectl patch command

This command does not work in Powershell. A specific note would help the developers to take care of the same.

* Fixed review comments

Added different tabs for bash and PowerShell.

* Removing note for PowerShell

Hugo is not able to add note along with shortcode. Hence removing note.";0
kubernetes/website;62b6fe2280b7ac618f1cf1c7e8d41415440e0dac;Change PowerShell example to use the -Raw flag (#17645);0
kubernetes/website;cb559f13c2c6deaa5fa309660afe82ee4adf5cd8;"Sixth Korean l10n work for release-1.16 (#17962)

* Update _index.md (#17762)
* Update apparmor.md (#17767)
* Update hello-minikube.md (#17771)
* Update guestbook.md (#17773)
* Update localization_ko.md (#17777)
* Fix grammatical errors (#17776)
* Translate /docs/reference/issues-security/security.md in Korea (#17763)
* Create issues.md (#17765)
* Update basic-stateful-set.md (#17774)
* Fixed typo ko/docs/concepts/overview/components.md (#17778)
* Modify typo. (#17802)
* Update cloud-controller.md (#17760)
* Update file outdated korean docs in dev-1.16-ko.6. (#17772)
* Translate concepts/services-networking/ingress-controller in Korean (#17858)
* Update ingress-controller.md
* Translate services-networking/ingress.md in Korean. (#17807)
* Fix grammatical errors (#17775)
* Translate docs/contribute/style/write-new-topic.md in Korean (#17758)

Co-Authored-By: const-k <kss07120@gmail.com>
Co-Authored-By: Yuk, Yongsu <ysyukr@gmail.com>
Co-Authored-By: power8993 <37264128+power8993@users.noreply.github.com>
Co-Authored-By: reung37 <49059415+reung37@users.noreply.github.com>
Co-Authored-By: Chihoon-Sung <55041611+Chihoon-Sung@users.noreply.github.com>
Co-Authored-By: Claudia J.Kang <claudiajkang@gmail.com>
Co-Authored-By: Seokho Son <shsongist@gmail.com>";0
kubernetes/website;d13ae7a5da842479af234392d24866a546a53597;"Fixed configure-access-multiple-clusters.md

I fixed a Powershell command that you had provided in this document.  Attempting to run the command with the format you supplied resulted in errors due to some conflict between using backwards slash for pathnames inside of parentheses.";0
kubernetes/website;ac8b4c5399d9203262376a435df41dbc2f30d324;"Updating /docs/tasks/tools/install-kubectl

Adding instructions for how to validate kubectl binaries against checksum files (Linux, MacOS, Windows)

Updating links to download from https://dl.k8s.io/

Updating Linux-specific install instructions to use install command, and
macOS-specific instructions to chown root the install to provide a trusted
kubectl.

Adding note annotation around optional download instructions

Markdown updates
* Updating numbered lists to use markdown syntax (""1."" for each entry), should make it easier to add and remove list items in future
* Adding some syntax highlighting to the command snippets

Correcting ""PowerShell"" spelling

fixes: https://github.com/kubernetes/website/issues/25040

Signed-off-by: Nate W <4453979+nate-double-u@users.noreply.github.com>";0
